area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,purse seine,Direct human consumption,3.3028357744,1976.5619334513815
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,gillnet,Direct human consumption,13.0357723523,7801.17849164779
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,other,Direct human consumption,363.2365733472,217376.71284784988
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,other,Fishmeal and fish oil,0.1818000868,0.0016969163740184173
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,other,Other,0.1818000868,0.0016969163740184173
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,unknown class,Direct human consumption,1890.6925906920,1131473.4542922482
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,0.0921745535,55.16129961362503
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale seine nets,Fishmeal and fish oil,0.0000461334,4.3060782040628745e-07
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale seine nets,Other,0.0000461334,4.3060782040628745e-07
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,95.6217865862,57224.27522427714
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,0.0478587520,0.0004467121079679748
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale gillnets,Other,0.0478587520,0.0004467121079679748
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,827.1277998636,494989.5892437623
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale pots or traps,Fishmeal and fish oil,0.4139778778,0.003864056678160865
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale pots or traps,Other,0.4139778778,0.003864056678160865
